,TA,TB,M,N,K,libtype,solidx,soltimems,dtype
0,T,N,16,7200000,12,rocblas,3759.0,0.23795840740203858,torch.bfloat16
1,T,N,8,7200000,12,rocblas,3759.0,0.20322868824005128,torch.bfloat16
2,T,N,32,7200000,12,rocblas,3765.0,0.391186261177063,torch.bfloat16
3,T,N,32,7200000,8,rocblas,3768.0,0.3530848026275635,torch.bfloat16
4,T,N,16,7200000,48,hipblaslt,42714.0,0.46616244316101074,torch.bfloat16
5,T,N,16,7200000,16,rocblas,3759.0,0.26505265235900877,torch.bfloat16
6,T,N,8,7200000,24,rocblas,3766.0,0.34648358821868896,torch.bfloat16
7,T,N,32,7200000,16,rocblas,3758.0,0.4148186206817627,torch.bfloat16
8,T,N,8,7200000,36,hipblaslt,42714.0,0.3610130071640015,torch.bfloat16
9,T,N,16,7200000,28,rocblas,3766.0,0.3847695589065552,torch.bfloat16
10,T,N,16,7200000,8,rocblas,3766.0,0.21707444190979003,torch.bfloat16
11,T,N,8,7200000,16,rocblas,3759.0,0.23850569725036622,torch.bfloat16
12,T,N,1,7200000,8,rocblas,3759.0,0.1467028021812439,torch.bfloat16
13,N,N,1,7200000,8,rocblas,4060.0,0.1779386043548584,torch.bfloat16
14,N,N,8,7200000,1,rocblas,4063.0,0.12456204891204833,torch.bfloat16
15,N,N,16,7200000,8,rocblas,4063.0,0.21348218917846679,torch.bfloat16
16,N,N,8,7200000,16,rocblas,4056.0,0.243048095703125,torch.bfloat16
17,N,N,28,7200000,16,rocblas,4056.0,0.47582063674926756,torch.bfloat16
18,N,N,36,7200000,8,hipblaslt,29148.0,0.5613149642944336,torch.bfloat16
19,N,N,48,7200000,16,hipblaslt,29148.0,0.5911353588104248,torch.bfloat16
20,N,N,8,7200000,32,hipblaslt,29147.0,0.25763559341430664,torch.bfloat16
21,N,N,16,7200000,32,hipblaslt,29147.0,0.2533297061920166,torch.bfloat16
22,N,N,24,7200000,8,rocblas,4065.0,0.3331149578094482,torch.bfloat16
23,N,N,16,7200000,16,rocblas,4056.0,0.26627545356750487,torch.bfloat16
24,T,N,64,4800000,12,hipblaslt,42710.0,0.44835548400878905,torch.bfloat16
25,T,N,32,4800000,12,rocblas,3765.0,0.2767474889755249,torch.bfloat16
26,T,N,128,4800000,12,hipblaslt,42680.0,0.6896515846252441,torch.bfloat16
27,T,N,128,4800000,32,hipblaslt,42763.0,0.5446626663208007,torch.bfloat16
28,T,N,64,4800000,192,hipblaslt,43312.0,0.7963426589965821,torch.bfloat16
29,T,N,64,4800000,64,hipblaslt,42710.0,0.4329361915588379,torch.bfloat16
30,T,N,32,4800000,96,hipblaslt,42760.0,0.4105066299438477,torch.bfloat16
31,T,N,128,4800000,64,hipblaslt,18102.0,0.670672082901001,torch.bfloat16
32,T,N,32,4800000,108,hipblaslt,42700.0,0.5906122207641602,torch.bfloat16
33,T,N,64,4800000,76,hipblaslt,42761.0,0.5846806049346924,torch.bfloat16
34,T,N,64,4800000,32,hipblaslt,42751.0,0.34609670639038087,torch.bfloat16
35,T,N,32,4800000,64,hipblaslt,42760.0,0.31571500301361083,torch.bfloat16
36,T,N,1,4800000,32,hipblaslt,42714.0,0.15868840217590333,torch.bfloat16
37,N,N,1,4800000,32,hipblaslt,29147.0,0.16226454973220825,torch.bfloat16
38,N,N,32,4800000,1,rocblas,4065.0,0.18963944911956787,torch.bfloat16
39,N,N,64,4800000,32,hipblaslt,29220.0,0.31030449867248533,torch.bfloat16
40,N,N,32,4800000,64,hipblaslt,29218.0,0.3160197019577026,torch.bfloat16
41,N,N,76,4800000,64,hipblaslt,29148.0,0.6817214488983154,torch.bfloat16
42,N,N,108,4800000,32,hipblaslt,29150.0,0.7267308235168457,torch.bfloat16
43,N,N,192,4800000,64,hipblaslt,29191.0,0.9817905426025391,torch.bfloat16
44,N,N,32,4800000,128,hipblaslt,30426.0,0.4868058204650879,torch.bfloat16
45,N,N,64,4800000,128,hipblaslt,29219.0,0.6159363269805909,torch.bfloat16
46,N,N,96,4800000,32,hipblaslt,29114.0,0.45639805793762206,torch.bfloat16
47,N,N,64,4800000,64,hipblaslt,29219.0,0.40410799980163575,torch.bfloat16
0,N,N,8,1,7200000,hipblaslt,29756.0,0.5909951686859131,torch.bfloat16
1,N,T,16,8,7200000,hipblaslt,21361.0,0.6872060298919678,torch.bfloat16
2,N,T,8,16,7200000,hipblaslt,21361.0,0.688298511505127,torch.bfloat16
3,N,T,28,16,7200000,hipblaslt,21361.0,0.7192515850067138,torch.bfloat16
4,N,T,36,8,7200000,hipblaslt,21361.0,0.720632791519165,torch.bfloat16
5,N,T,48,16,7200000,hipblaslt,21361.0,0.7456762313842773,torch.bfloat16
6,N,T,8,32,7200000,hipblaslt,21361.0,0.7016191005706787,torch.bfloat16
7,N,T,16,32,7200000,hipblaslt,21361.0,0.7140215873718262,torch.bfloat16
8,N,T,24,8,7200000,hipblaslt,21361.0,0.7140215873718262,torch.bfloat16
9,N,T,16,16,7200000,hipblaslt,21361.0,0.7140215873718262,torch.bfloat16
10,N,T,12,32,7200000,hipblaslt,21361.0,0.7140215873718262,torch.bfloat16
11,N,T,12,8,7200000,hipblaslt,21361.0,0.7140215873718262,torch.bfloat16
12,N,T,12,16,7200000,hipblaslt,21361.0,0.7140215873718262,torch.bfloat16
0,N,N,32,1,4800000,hipblaslt,29756.0,0.4426905632019043,torch.bfloat16
1,N,T,64,32,4800000,hipblaslt,21779.0,0.5769408702850342,torch.bfloat16
2,N,T,32,64,4800000,hipblaslt,21779.0,0.5736733436584472,torch.bfloat16
3,N,T,76,64,4800000,hipblaslt,21403.0,0.879178810119629,torch.bfloat16
4,N,T,108,32,4800000,hipblaslt,21387.0,0.7600412845611573,torch.bfloat16
5,N,T,192,64,4800000,hipblaslt,21433.0,1.1244881629943848,torch.bfloat16
6,N,T,32,128,4800000,hipblaslt,21403.0,0.7479074001312256,torch.bfloat16
7,N,T,64,128,4800000,hipblaslt,21433.0,0.9323149681091308,torch.bfloat16
8,N,T,96,32,4800000,hipblaslt,21779.0,0.692983341217041,torch.bfloat16
9,N,T,64,64,4800000,hipblaslt,21387.0,0.7177943229675293,torch.bfloat16
10,N,T,12,128,4800000,hipblaslt,21398.0,0.6331779479980468,torch.bfloat16
11,N,T,12,32,4800000,hipblaslt,21361.0,0.4845787525177002,torch.bfloat16
12,N,T,12,64,4800000,hipblaslt,21779.0,0.5546075820922851,torch.bfloat16
